wordlist,list,our words,missing words
List of English Words of Russian Origin,"Babushka: An old granny or a scarf folded diagonally and tied underneath the chin
Blintz: A food term used to describe a thin pancake, often filled with a filling
Bolshevik: An extermist white ring Russian
Borsch: Soup
Commissar: A political officer responsible for providing education
Cosmonaut: A space sailor who is trained in space flight
Mammoth: An extinct animal that burrowed in the ground
Pirogi: A word that means pie in Russian
Ruble: A coin cut from a silver ingot
Samovar: A tea urn or tall pitcher that holds hot drinks
Troika: Three things or people working together
Tundra: A low temperature area
Vodka: An alcoholic drink",[],"['Babushka: An old granny or a scarf folded diagonally and tied underneath the chin', 'Blintz: A food term used to describe a thin pancake, often filled with a filling', 'Bolshevik: An extermist white ring Russian', 'Borsch: Soup', 'Commissar: A political officer responsible for providing education', 'Cosmonaut: A space sailor who is trained in space flight', 'Mammoth: An extinct animal that burrowed in the ground', 'Pirogi: A word that means pie in Russian', 'Ruble: A coin cut from a silver ingot', 'Samovar: A tea urn or tall pitcher that holds hot drinks', 'Troika: Three things or people working together', 'Tundra: A low temperature area', 'Vodka: An alcoholic drink']"
List of English Words of Spanish Origin,"English Term


Original Spanish Term 


Meaning/Origin of Spanish Term
Alligator


El lagarto


Literally, the lizard.
Anchovy


Anchova


Salt-cured fish. Most likely of Catalan origin.
Armadillo


Armadillo


A diminutive form of ""armado"" (armored).
Cockroach


Cucaracha


Derived from Latin.
Coyote


Coyote


Borrowed by Spanish from the Nahuatl language.
Mosquito


Mosquito


A diminutive form of ""mosco"" (fly).
Iguana


Iguana


Borrowed by Spanish from Arawakan languages.
Puma


Puma


Borrowed by Spanish from the Quechua language.
English Term


Original Spanish Term 


Meaning/Origin of Spanish Term
Barbecue


Barbacoa


A set up to cook meat or food over fire.
Burrito


Burrito


A diminutive form of ""burro"" (donkey).
Chocolate


Chocolate


Borrowed by Spanish from the Nahuatl language.
Chorizo


Chorizo


A type of sausage.
Churro


Churro


Originated by onomatopoeia.
Daiquiri


Daiquiri


From Daiquirí, a neighborhood in Cuba.
Jerky


Charqui


Meat that is salted and air or sun dried.
Oregano


Orégano


Derived from Latin and Greek.
Piña Colada


Piña Colada


Literally, strained pineapple.
Potato


Batata


Probably borrowed by Spanish from the Taino language.
Salsa


Salsa


Sauce. Derived from Latin.
Tortilla


Tortilla


A diminutive form of ""torta"" (cake).
English Term


Original Spanish Term 


Meaning/Origin of Spanish Term
Bodega


Bodega


Wine cellar. Derived from Latin and Greek.
Cafeteria


Cafetería


A place where coffee and other drinks are served.
Fiesta


Fiesta


Party. Derived from Latin.
Hacienda


Hacienda


An estate in the countryside. Derived from Latin.
Patio


Patio


A courtyard surrounded by walls but with no roof.
Plaza


Plaza


An open square or similar space in a town.
Ranch


Rancho


From ""rancharse"", to live in a house.
Rodeo


Rodeo


From ""rodear"", to go around.
Silo


Silo


A dry place where grains or seeds are stored.
English Term


Original Spanish Term 


Meaning/Origin of Spanish Term
Canyon


Cañón


Derived from ""caño"" (pipe or tube).
El niño


El niño


Literally, the child.
Hurricane


Huracán


Derived from the Taino language.
Mesa


Mesa


Table. Derived from Latin.
Pampa


Pampa


Derived from a Quechua term for flat.
Savanna


Sabana


A plain, especially one with no trees.
Tornado


Tronada


A thunderstorm.
Aficionado


Aficionado


An amateur or a fan. From ""afición"" (love or hobby).
Conquistador


Conquistador


Someone who conquers. Derived from Latin.
Federales


Federales


Plural form of ""federal"". Derived from Latin.
Loco


Loco


Crazy.  Probably derived from Arabic.
Matador


Matador


One who kills. Derived from Latin.
",[],[]
List of English Words of Yiddish Origin,"Schmuck
Bagel
Lox
Schmo
Schmooze
Schlock
Schnook
Shtick
Spiel
Tush
Glitch means a slip in Yiddish, but in common English, generally refers to an error in operation.
Schlep means to carry something in Yiddish but in English usage, it means to carry oneself.
Chutzpah in Yiddish refers to improper audacity in a negative sense, while in English it has a much more positive intent.",[],"['Schmuck', 'Bagel', 'Lox', 'Schmo', 'Schmooze', 'Schlock', 'Schnook', 'Shtick', 'Spiel', 'Tush', 'Glitch means a slip in Yiddish, but in common English, generally refers to an error in operation.', 'Schlep means to carry something in Yiddish but in English usage, it means to carry oneself.', 'Chutzpah in Yiddish refers to improper audacity in a negative sense, while in English it has a much more positive intent.']"
List of Positive Adjectives,"Amazing
Awesome
Blithesome
Excellent
Fabulous
Fantastic
Favorable
Fortuitous
Great
Incredible
Ineffable
Mirthful
Outstanding
Perfect
Propitious
Remarkable
Smart
Spectacular
Splendid
Stellar
Stupendous
Super
Ultimate
Unbelievable
Wondrous","['Fantastic', 'Great', 'Outstanding', 'Smart']","['Amazing', 'Awesome', 'Blithesome', 'Excellent', 'Fabulous', 'Favorable', 'Fortuitous', 'Incredible', 'Ineffable', 'Mirthful', 'Perfect', 'Propitious', 'Remarkable', 'Spectacular', 'Splendid', 'Stellar', 'Stupendous', 'Super', 'Ultimate', 'Unbelievable', 'Wondrous']"
List of Romantic Words,"French = Je t'aime or Je t'adore
Greek = S'agapo
Italian = Ti amo
Hawaiian = Aloha Au Ia Oe
Russian = Ya lyublyu tebya
Spanish = Te amo or Te quiero
Love is composed of a single soul inhabiting two bodies. - Aristotle
If I had a flower for every time I thought of you, I could walk in my garden forever. - Alfred Lord Tennyson
For it was not into my ear you whispered, but into my heart. It was not my lips you kissed, but my soul. - Judy Garland
You know you're in love when you can't fall asleep because reality is finally better than your dreams. - Dr. Seuss
The spaces between your fingers were created so that another's could fill them in. - Anonymous
You hold the key to my heart.
My love for you is unconditional and eternal.
I adore you.
You are the best thing that ever happened to me.
You are my perfect match.
You are the one Ive always wished for.
You make my heart skip a beat.
Last night I looked up into the stars and matched each one with a reason why I love you. I was doing great until I ran out of stars.
I'll love you till death, and then some.
[When giving her or him a dozen roses, 11 real and 1 fake], say ""I will love you until the last rose dies.""
Before he or she finishes a sentence, kiss him or her passionately.
Draw a bath and throw in some rose petals.
Say, Youll never lose me with a gift of a compass.
When he or she is taking a shower, draw a heart on the mirror.
Kiss in private and in public.
Hold hands.
Play footsies while watching TV.
Buy a gift for no reason.",[],"[""French = Je t'aime or Je t'adore"", ""Greek = S'agapo"", 'Italian = Ti amo', 'Hawaiian = Aloha Au Ia Oe', 'Russian = Ya lyublyu tebya', 'Spanish = Te amo or Te quiero', 'Love is composed of a single soul inhabiting two bodies. - Aristotle', 'If I had a flower for every time I thought of you, I could walk in my garden forever. - Alfred Lord Tennyson', 'For it was not into my ear you whispered, but into my heart. It was not my lips you kissed, but my soul. - Judy Garland', ""You know you're in love when you can't fall asleep because reality is finally better than your dreams. - Dr. Seuss"", ""The spaces between your fingers were created so that another's could fill them in. - Anonymous"", 'You hold the key to my heart.', 'My love for you is unconditional and eternal.', 'I adore you.', 'You are the best thing that ever happened to me.', 'You are my perfect match.', 'You are the one Ive always wished for.', 'You make my heart skip a beat.', 'Last night I looked up into the stars and matched each one with a reason why I love you. I was doing great until I ran out of stars.', ""I'll love you till death, and then some."", '[When giving her or him a dozen roses, 11 real and 1 fake], say ""I will love you until the last rose dies.""', 'Before he or she finishes a sentence, kiss him or her passionately.', 'Draw a bath and throw in some rose petals.', 'Say, Youll never lose me with a gift of a compass.', 'When he or she is taking a shower, draw a heart on the mirror.', 'Kiss in private and in public.', 'Hold hands.', 'Play footsies while watching TV.', 'Buy a gift for no reason.']"
List of Short Vowel Words,"act
apt
ask
bat
bad
bag
cat
cap
cab
dad
dab
Dan
fan
fat
fad
gap
gab
gal
gas
ham
has
had
hat
jab
jam
lab
lad
lag
lap
man
mad
mat
map
nap
pan
Pam
pad
pal
ran
ram
rag
rat
Sam
sad
sag
sat
sap
tab
tan
tad
tag
tap
van
vat
yam
zap
Ben
bed
beg
bet
den
fed
gem
get
gel
hen
hem
jet
Ken
keg
led
leg
let
men
met
net
pen
peg
pet
red
set
ten
Ted
vet
yet
wed
wet
bin
bid
big
bit
dim
did
dig
dip
fin
fig
fit
gin
gig
him
his
hid
hit
hip
jib
Jim
jig
jip
kin
Kim
kid
kit
lid
lit
lip
nip
pin
pig
pit
rim
rid
rig
rip
sin
sit
sip
tin
tip
win
wit
zip
zit
bop
con
cod
cog
cot
cop
Don
dog
dot
fog
God
got
hog
hot
jog
jot
lob
log
lot
lop
mob
mom
mop
nod
not
pod
pot
rod
rot
son
sod
ton
Tom
tot
top
won
bun
bum
bus
bud
bug
but
cud
cut
cup
dug
fun
gun
gum
Gus
gut
hum
hug
hut
jug
jut
lug
mug
nun
nut
pun
pug
pup
rub
run
rum
rug
rut
sub
sun
sum
tug
","['act', 'ask', 'bat', 'bad', 'bag', 'cat', 'cap', 'cab', 'dad', 'Dan', 'fan', 'fat', 'gap', 'gab', 'gal', 'gas', 'ham', 'has', 'had', 'hat', 'jab', 'jam', 'lab', 'lad', 'lap', 'man', 'mad', 'mat', 'map', 'nap', 'pan', 'Pam', 'pad', 'pal', 'ran', 'ram', 'rag', 'rat', 'Sam', 'sad', 'sat', 'sap', 'tan', 'tad', 'tag', 'tap', 'van', 'vat', 'Ben', 'bed', 'bet', 'den', 'fed', 'gem', 'get', 'hen', 'hem', 'jet', 'Ken', 'keg', 'led', 'leg', 'let', 'men', 'met', 'net', 'pen', 'peg', 'pet', 'red', 'set', 'ten', 'Ted', 'vet', 'yet', 'wed', 'wet', 'bin', 'bid', 'big', 'bit', 'dim', 'did', 'dig', 'dip', 'fin', 'fig', 'fit', 'gig', 'him', 'his', 'hid', 'hit', 'hip', 'Jim', 'Kim', 'kid', 'kit', 'lid', 'lit', 'lip', 'nip', 'pin', 'pig', 'pit', 'rim', 'rid', 'rig', 'rip', 'sit', 'sip', 'tin', 'tip', 'win', 'wit', 'zip', 'con', 'cod', 'cot', 'cop', 'Don', 'dog', 'dot', 'fog', 'God', 'got', 'hog', 'hot', 'jog', 'jot', 'log', 'lot', 'mob', 'mom', 'mop', 'not', 'pot', 'rod', 'rot', 'son', 'ton', 'Tom', 'tot', 'top', 'won', 'bun', 'bum', 'bus', 'bud', 'bug', 'but', 'cut', 'cup', 'dug', 'fun', 'gun', 'gum', 'Gus', 'hum', 'hug', 'hut', 'jug', 'lug', 'mug', 'nut', 'pup', 'rub', 'run', 'rum', 'rug', 'sub', 'sun', 'sum', 'tug']","['apt', 'dab', 'fad', 'lag', 'sag', 'tab', 'yam', 'zap', 'beg', 'gel', 'gin', 'jib', 'jig', 'jip', 'kin', 'sin', 'zit', 'bop', 'cog', 'lob', 'lop', 'nod', 'pod', 'sod', 'cud', 'gut', 'jut', 'nun', 'pun', 'pug', 'rut', '']"
List of Transition Words,"Therefore
However
Moreover
Lastly
Next
Also
Furthermore
In addition to
Similarly
Likewise
Accordingly
Hence
Consequently
As a result
Thereby
Otherwise
Subsequently
Thus
So then
Wherefore
Generally
Usually
For the most part
As a rule
Ordinarily
Regularly
In particular
For instance
Particularly
Especially
Such as
Including
Namely
For example
As an example
In this case
Above all
Singularly
Likewise
Coupled with
Compared to
In comparison to
Together with
Besides
In brief
In short
In conclusion
In the meantime
Soon
Later
In the meanwhile
Afterward
Earlier
In summary
To summarize
Finally
Before
After
By the way
Incidentally
As a result of
Accidentally
Here
There
Over there
Opposite
Under
Beyond
In the distance
To the left
To the right","['Next', 'Also', 'Soon', 'Later', 'Finally', 'Before', 'After', 'Here', 'There', 'Under']","['Therefore', 'However', 'Moreover', 'Lastly', 'Furthermore', 'In addition to', 'Similarly', 'Likewise', 'Accordingly', 'Hence', 'Consequently', 'As a result', 'Thereby', 'Otherwise', 'Subsequently', 'Thus', 'So then', 'Wherefore', 'Generally', 'Usually', 'For the most part', 'As a rule', 'Ordinarily', 'Regularly', 'In particular', 'For instance', 'Particularly', 'Especially', 'Such as', 'Including', 'Namely', 'For example', 'As an example', 'In this case', 'Above all', 'Singularly', 'Likewise', 'Coupled with', 'Compared to', 'In comparison to', 'Together with', 'Besides', 'In brief', 'In short', 'In conclusion', 'In the meantime', 'In the meanwhile', 'Afterward', 'Earlier', 'In summary', 'To summarize', 'By the way', 'Incidentally', 'As a result of', 'Accidentally', 'Over there', 'Opposite', 'Beyond', 'In the distance', 'To the left', 'To the right']"
List of Words and Phrases Shakespeare Invented,"""Its Greek to me"" (Julius Caesar) - When you say, ""it's Greek to me"" you are admitting that you do not know or understand something.
""Fair play"" (The Tempest) - Follow the rules, especially in competitions or sports.
""All that glitters isnt gold"" (Merchant of Venice) - We usually use this phrase after we discover the fact that something that looks good turns out not to be that great.
""Wear ones heart on ones sleeve"" (Othello) - To be a hopeless romantic (or be open and honest about how you feel) is to wear one's heart on one's sleeve.
""Break the ice"" (The Taming of the Shrew) - Often when you meet someone for the first time, you ""break the ice"" by asking them polite questions about themselves.
""The lady doth protest too much"" (Hamlet) - If someone denies something more than once, you can say ""the lady doth protest too much,"" meaning you think that they feel the opposite to what they are saying.
""Clothes make the man"" (Hamlet) - Although not always true, this phrase implies that how a person dresses tells you something about who they are as a person.
""A laughing stock"" (The Merry Wives of Windsor) - To be a laughing stock is to be considered a joke by many people.
""Too much of a good thing"" (As You Like It) - It is said that ""too much of a good thing"" (i.e. money, love, food) is not necessarily good for you.
""In a pickle"" (The Tempest) - To be ""in a pickle"" is to be in trouble or a situation that you cannot easily get out of.",[],"['""Its Greek to me"" (Julius Caesar) - When you say, ""it\'s Greek to me"" you are admitting that you do not know or understand something.', '""Fair play"" (The Tempest) - Follow the rules, especially in competitions or sports.', '""All that glitters isnt gold"" (Merchant of Venice) - We usually use this phrase after we discover the fact that something that looks good turns out not to be that great.', '""Wear ones heart on ones sleeve"" (Othello) - To be a hopeless romantic (or be open and honest about how you feel) is to wear one\'s heart on one\'s sleeve.', '""Break the ice"" (The Taming of the Shrew) - Often when you meet someone for the first time, you ""break the ice"" by asking them polite questions about themselves.', '""The lady doth protest too much"" (Hamlet) - If someone denies something more than once, you can say ""the lady doth protest too much,"" meaning you think that they feel the opposite to what they are saying.', '""Clothes make the man"" (Hamlet) - Although not always true, this phrase implies that how a person dresses tells you something about who they are as a person.', '""A laughing stock"" (The Merry Wives of Windsor) - To be a laughing stock is to be considered a joke by many people.', '""Too much of a good thing"" (As You Like It) - It is said that ""too much of a good thing"" (i.e. money, love, food) is not necessarily good for you.', '""In a pickle"" (The Tempest) - To be ""in a pickle"" is to be in trouble or a situation that you cannot easily get out of.']"
List of Words that Describe Behavior,"Caring: desire to help people
Charming: pleasant, delightful
Considerate: thinking of others
Enthusiastic: has strong feelings; ardent
Excitable: gets excited easily
Faithful: being loyal
Funny: causing people to laugh
Kind: thoughtful, caring
Pleasant: polite
Polite: exhibiting good manners
Sincere: being totally honest
Thoughtful: thinking things over
Aggressive: verbally or physically threatening
Argumentative: often arguing with people
Bossy: always telling people what to do
Deceitful: doing or saying anything to get people to do what you want or to get what you want
Domineering: constantly trying to control others
Inconsiderate: not caring about others or their feelings
Irritating: bothering people
Manic: acting just a little crazy
Manipulative: always trying to influences other people
Moody: being unpredictable; changing moods often
Rude: treating people badly; breaking social rules
Spiteful: seeking revenge; hurting others because you didnt get what you want
Thoughtless: not thinking about the effects of your actions or words
Active: always busy with something
Ambitious: strongly wants to succeed
Assertive: being outgoing and confident
Careless: not being careful; rushing into things
Cautious: being very careful
Conceited: thinks he is better than others; arrogant
Conscientious: taking time to do things right
Creative: someone who can make up things easily or think of new things
Curious: always wanting to know things
Docile: submissive, does what he is told
Extroverted: very outgoing; confident
Impulsive: saying or doing things without thinking first
Introverted: keeps to himself, doesnt share thoughts and feelings
Inventive: thinks of new ideas
Nervous: very uncomfortable
Passive: does not argue; does as he is told
Perfectionist: wants everything to be done right and perfectly
Pragmatic always sees the practical side of things
Reserved: keeps thoughts and feelings to himself
Serious: no-nonsense kind of behavior
Shy: quite and reserved; lacking in confidence
Trustworthy: simply worthy of someones trust
Volatile: changing moods very quickly",[],"['Caring: desire to help people', 'Charming: pleasant, delightful', 'Considerate: thinking of others', 'Enthusiastic: has strong feelings; ardent', 'Excitable: gets excited easily', 'Faithful: being loyal', 'Funny: causing people to laugh', 'Kind: thoughtful, caring', 'Pleasant: polite', 'Polite: exhibiting good manners', 'Sincere: being totally honest', 'Thoughtful: thinking things over', 'Aggressive: verbally or physically threatening', 'Argumentative: often arguing with people', 'Bossy: always telling people what to do', 'Deceitful: doing or saying anything to get people to do what you want or to get what you want', 'Domineering: constantly trying to control others', 'Inconsiderate: not caring about others or their feelings', 'Irritating: bothering people', 'Manic: acting just a little crazy', 'Manipulative: always trying to influences other people', 'Moody: being unpredictable; changing moods often', 'Rude: treating people badly; breaking social rules', 'Spiteful: seeking revenge; hurting others because you didnt get what you want', 'Thoughtless: not thinking about the effects of your actions or words', 'Active: always busy with something', 'Ambitious: strongly wants to succeed', 'Assertive: being outgoing and confident', 'Careless: not being careful; rushing into things', 'Cautious: being very careful', 'Conceited: thinks he is better than others; arrogant', 'Conscientious: taking time to do things right', 'Creative: someone who can make up things easily or think of new things', 'Curious: always wanting to know things', 'Docile: submissive, does what he is told', 'Extroverted: very outgoing; confident', 'Impulsive: saying or doing things without thinking first', 'Introverted: keeps to himself, doesnt share thoughts and feelings', 'Inventive: thinks of new ideas', 'Nervous: very uncomfortable', 'Passive: does not argue; does as he is told', 'Perfectionist: wants everything to be done right and perfectly', 'Pragmatic always sees the practical side of things', 'Reserved: keeps thoughts and feelings to himself', 'Serious: no-nonsense kind of behavior', 'Shy: quite and reserved; lacking in confidence', 'Trustworthy: simply worthy of someones trust', 'Volatile: changing moods very quickly']"
List of Words that Describe the United States,"Diverse
patriotic
melting pot
growing
African
Jewish
Atheist
smart
dumb
tall
short
educated
consumers
driven
musical
artistic
criminal
homeless
rich
poor
impoverished
working class
Republicans
entrepreneurs
spiritual
friendly
lovely
ugly
generous
selfish
charming
brave
strange
wicked
wonderful
abusive
witty
wonderful
clever
jazzy
creative
visual
fun
entertaining
expressive
invigorating
sensual
comical
realistic
modern
worrisome
enlightening
exhilarating
soulful
theatrical
moving
inspired
protest
eye-opening
somber
sad
exciting
addictive
thought-provoking
arid
flat
green
brown
forested
hilly
mountainous
cavernous
snow-capped
high
low
majestic
fruited
floral
inspiring
beautiful
sandy
deep
rocky
frozen
old
new
colorful
useful
grand
tropical
humid
monsoonal
drought
windy
rainy
snowy
dangerous
loud
destructive
awesome
scary
balmy
blustery
hot
hazy
foggy
freezing
icy
baking
stormy
fair
pleasant
democracy
self-governed
just
corrupt
representative
greedy
dishonest
free
liberated
symbolic
uplifting
proud
stable
indicative
valuable
popular
somber
reflective
memorable
","['patriotic', 'smart', 'dumb', 'tall', 'short', 'artistic', 'homeless', 'rich', 'poor', 'ugly', 'selfish', 'brave', 'strange', 'abusive', 'creative', 'fun', 'expressive', 'protest', 'sad', 'addictive', 'flat', 'green', 'brown', 'high', 'low', 'beautiful', 'deep', 'old', 'new', 'useful', 'grand', 'humid', 'drought', 'windy', 'rainy', 'snowy', 'loud', 'balmy', 'hot', 'icy', 'pleasant', 'just', 'free', 'symbolic', 'stable', 'popular']","['Diverse', 'melting pot', 'growing', 'African', 'Jewish', 'Atheist', 'educated', 'consumers', 'driven', 'musical', 'criminal', 'impoverished', 'working class', 'Republicans', 'entrepreneurs', 'spiritual', 'friendly', 'lovely', 'generous', 'charming', 'wicked', 'wonderful', 'witty', 'wonderful', 'clever', 'jazzy', 'visual', 'entertaining', 'invigorating', 'sensual', 'comical', 'realistic', 'modern', 'worrisome', 'enlightening', 'exhilarating', 'soulful', 'theatrical', 'moving', 'inspired', 'eye-opening', 'somber', 'exciting', 'thought-provoking', 'arid', 'forested', 'hilly', 'mountainous', 'cavernous', 'snow-capped', 'majestic', 'fruited', 'floral', 'inspiring', 'sandy', 'rocky', 'frozen', 'colorful', 'tropical', 'monsoonal', 'dangerous', 'destructive', 'awesome', 'scary', 'blustery', 'hazy', 'foggy', 'freezing', 'baking', 'stormy', 'fair', 'democracy', 'self-governed', 'corrupt', 'representative', 'greedy', 'dishonest', 'liberated', 'uplifting', 'proud', 'indicative', 'valuable', 'somber', 'reflective', 'memorable', '']"
Longest Words in the English Language,"Supercalifragilisticexpialidocious
Hippopotomonstrosesquipedalian
Floccinaucinihilipilification
Aequeo- the meaning of this word is equal
Salino - the meaning of this word is containing salt
Calcalino  the meaning of this word is calcium
Ceraceo - the meaning of this word is waxy
Aluminoso  the meaning of this word is alumina
Cupreo  this word stems from the word ""copper""
Vitriolic  the meaning of this word is resembling",[],[]
More About Words that End with the Letter Q,"Aeq: The Latin equivalent of the word equals.
Antiq: An accepted abbreviation for the words antiquary and antiquarian.
Zindiq: An Islamic word meaning free thinking.",[],"['Aeq: The Latin equivalent of the word equals.', 'Antiq: An accepted abbreviation for the words antiquary and antiquarian.', 'Zindiq: An Islamic word meaning free thinking.']"
Most Commonly Spoken Words in English,"the
of
and
a
to
in
is
you
that
it
he
was
for
on
are
as
with
his
they
I
at
be
this
have
from
or
one
had
by
word
but
not
what
all
were
we
when
your
can
said
there
use
an
each
which
she
do
how
their
if
will
up
other
about
out
many
then
them
these
so
some
her
would
make
like
him
into
time
has
look
two
more
write
go
see
number
no
way
could
people
my
than
first
water
been
call
who
oil
its
now
find
long
down
day
did
get
come
made
may
part","['the', 'of', 'and', 'to', 'in', 'is', 'you', 'that', 'it', 'he', 'was', 'for', 'on', 'are', 'as', 'with', 'his', 'they', 'I', 'at', 'be', 'this', 'have', 'from', 'or', 'one', 'had', 'by', 'word', 'but', 'not', 'what', 'all', 'were', 'we', 'when', 'your', 'can', 'said', 'there', 'use', 'an', 'each', 'which', 'she', 'do', 'how', 'their', 'if', 'will', 'up', 'other', 'about', 'out', 'many', 'then', 'them', 'these', 'so', 'some', 'her', 'make', 'like', 'him', 'into', 'time', 'has', 'look', 'two', 'more', 'write', 'go', 'see', 'no', 'way', 'could', 'people', 'my', 'than', 'first', 'water', 'been', 'call', 'who', 'its', 'now', 'find', 'long', 'down', 'day', 'did', 'get', 'come', 'made', 'may', 'part']","['a', 'would', 'number', 'oil']"
Performance Appraisal Buzz Words,"Teamwork
Communication is Key
Core Competencies
Empowerment: Power to the People!
",[],"['Teamwork', 'Communication is Key', 'Core Competencies', 'Empowerment: Power to the People!', '']"
Redneck Vocabulary Words,"Far: If he dont turn that stove down, them chickens will catch far.
Bard: Cousin Jesse bard money from me and I aint seent him since.
Ranch: Go in the back of my truck and get that ranch!
Munts: Its been four munts since I heard from my brother.
All: Im gonna need me a all change on that truck.
Ahz: I cant see nuthin out these ahz.
Bawl: You gotta bawl that water fo you put in the egg.
Own: Turn them lights own.
Nekkid: There he was nekkid as a jaybird.
Hep: HEP! Theres a far!
Shevuhlay: I got me a new shevuhlay pickup!
Tar: He got him a flat tar!
Uhmurkin: Wes uhmurkin, born and raised in the United States of Uhmurka!
Spearmint: Billy Ray doin some type of spearmint in school.
Clinics: You got any clinics so I could wipe my nose?
Co-Cola: Yall want some co-cola? Its nice and cold.
Bar Code: Dems fightin rules at the bar.
Bare: Gimme a bare  Michelob!
Barium: Jimmy- they just barium at the cemetery.
Bleeve: Does you bleeve in ghosts?
Did: You got that fox Jim he did, not movin at all.
Fat: Ifn yall dont stop fatn Im comin down there.
Gubmint: Casey dun got a gubmint job.
Farn: I aint unnerstand nuthin he sedmust be some farn talk.
Hale: What da hale is goin on here?
Hot: Heidi she got a broken hot.
Kumpny: We gots kumpny coming over tonight.
Likker: He drank mo likker than I does.
Phraisin: Its phraisin in here!
Rats: They was fatn for they rats in the Civil war.
Tarred: I bin workin all day. I sure am tarred.
Thank: I thank I wanna ice cold bare.
Seed: I aint never seed this before.
Zat: Zat yo car?",[],"['Far: If he dont turn that stove down, them chickens will catch far.', 'Bard: Cousin Jesse bard money from me and I aint seent him since.', 'Ranch: Go in the back of my truck and get that ranch!', 'Munts: Its been four munts since I heard from my brother.', 'All: Im gonna need me a all change on that truck.', 'Ahz: I cant see nuthin out these ahz.', 'Bawl: You gotta bawl that water fo you put in the egg.', 'Own: Turn them lights own.', 'Nekkid: There he was nekkid as a jaybird.', 'Hep: HEP! Theres a far!', 'Shevuhlay: I got me a new shevuhlay pickup!', 'Tar: He got him a flat tar!', 'Uhmurkin: Wes uhmurkin, born and raised in the United States of Uhmurka!', 'Spearmint: Billy Ray doin some type of spearmint in school.', 'Clinics: You got any clinics so I could wipe my nose?', 'Co-Cola: Yall want some co-cola? Its nice and cold.', 'Bar Code: Dems fightin rules at the bar.', 'Bare: Gimme a bare  Michelob!', 'Barium: Jimmy- they just barium at the cemetery.', 'Bleeve: Does you bleeve in ghosts?', 'Did: You got that fox Jim he did, not movin at all.', 'Fat: Ifn yall dont stop fatn Im comin down there.', 'Gubmint: Casey dun got a gubmint job.', 'Farn: I aint unnerstand nuthin he sedmust be some farn talk.', 'Hale: What da hale is goin on here?', 'Hot: Heidi she got a broken hot.', 'Kumpny: We gots kumpny coming over tonight.', 'Likker: He drank mo likker than I does.', 'Phraisin: Its phraisin in here!', 'Rats: They was fatn for they rats in the Civil war.', 'Tarred: I bin workin all day. I sure am tarred.', 'Thank: I thank I wanna ice cold bare.', 'Seed: I aint never seed this before.', 'Zat: Zat yo car?']"
Spooky Halloween Words,"At first cock-crow the ghosts must go. Back to their quiet graves below. - Theodosia Garrison
When witches go riding, and black cats are seen. The moon laughs and whispers, tis near Halloween. - 19th century postcard
Double, double toil and trouble; Fire burn and cauldron bubble. -Shakespeare from ""Macbeth""
As I was going up the stair, I met a man who wasn't there. He wasn't there again today...Oh, how I wish he'd go away. - Anonymous
Shadows of a thousand years rise again unseen Voices whisper in the trees, ""Tonight is Halloween!"" - Dexter Kozen
My candle was nearly burnt out, when, by the glimmer of the half-extinguished light, I saw the dull yellow eye of the creature open... - Mary Shelley from Frankenstein
Eye of newt, and toe of frog, Wool of bat, and tongue of dog, Adder's fork, and blind-worm's sting, Lizard's leg, and owlet's wing, For a charm of powerful trouble, Like a hell-broth boil and bubble. - Shakespeare
Death will slay with his wings whoever disturbs the peace of the Pharaoh. - curse written at Tutankhamens tomb
She just goes a little mad sometimes. We all go a little mad sometimes. Haven't you? - Norman Bates from the movie Psycho
The Silence of the Lambs
Psycho
The Exorcist
Aliens
The Shining
A Nightmare on Elm Street
Night of the Living Dead",['Psycho'],"['At first cock-crow the ghosts must go. Back to their quiet graves below. - Theodosia Garrison', 'When witches go riding, and black cats are seen. The moon laughs and whispers, tis near Halloween. - 19th century postcard', 'Double, double toil and trouble; Fire burn and cauldron bubble. -Shakespeare from ""Macbeth""', ""As I was going up the stair, I met a man who wasn't there. He wasn't there again today...Oh, how I wish he'd go away. - Anonymous"", 'Shadows of a thousand years rise again unseen Voices whisper in the trees, ""Tonight is Halloween!"" - Dexter Kozen', 'My candle was nearly burnt out, when, by the glimmer of the half-extinguished light, I saw the dull yellow eye of the creature open... - Mary Shelley from Frankenstein', ""Eye of newt, and toe of frog, Wool of bat, and tongue of dog, Adder's fork, and blind-worm's sting, Lizard's leg, and owlet's wing, For a charm of powerful trouble, Like a hell-broth boil and bubble. - Shakespeare"", 'Death will slay with his wings whoever disturbs the peace of the Pharaoh. - curse written at Tutankhamens tomb', ""She just goes a little mad sometimes. We all go a little mad sometimes. Haven't you? - Norman Bates from the movie Psycho"", 'The Silence of the Lambs', 'The Exorcist', 'Aliens', 'The Shining', 'A Nightmare on Elm Street', 'Night of the Living Dead']"
Vocabulary Flashcards,,[],['']
Vocabulary Words for Thanksgiving,"Autumn
Acorns
Carve
Colonists
Cider
Feast
Cornucopia
Gobble
Mayflower","['Autumn', 'Carve', 'Cider', 'Feast', 'Gobble']","['Acorns', 'Colonists', 'Cornucopia', 'Mayflower']"
