4th Grade Science Vocabulary Words for Sound and Light,http://grammar.yourdictionary.com/word-lists/4th-grade-science-vocabulary-words-for-sound-and-light.html,"Amplitude = the measure of a sound wave
Echo = a reflection of sound
Pitch = how high or low a sound is; determined by the frequency of the vibration
Sonic Boom = a shock wave that consists of compressed sound waves created when something moves faster than the speed of sound
Sound Wave = sound travels in a wave, which is a moving pattern of high and low pressure or vibrations
Speed of Sound = how fast sound moves through an object
Vibrate = to move back and forth
Volume = how much sound energy reaches the ear
Wavelength = the length between the compressions in a sound wave
Absorption = absorption happens when light stops as it hits an opaque object
Convex lens = a curved lens like the outside a sphere
Concave = a curved lens like the inside of a sphere
Opaque = an object is opaque when all light is absorbed or reflected; no image can be seen
Prism = something that bends light, but is not a lens
Reflection = when light bounces off of an object
Refraction = when light is bent as it moves through one kind of matter to another
Translucent = a substance that allows some light to pass through it
Transparent = a substance that allows most of the light to pass through it
Visible Spectrum = the light energy that humans can see"
Adjectives That Start with A,http://grammar.yourdictionary.com/parts-of-speech/adjectives/Adjectives-That-Start-With-A.html,"Advantageous
Avuncular- like your uncle. . . your good uncle.
Astronomical- this word comes from ""astronomy"" which is naming the stars, a very big task. That's why astronomical means really, really big.
Androgynous- possessing both male and female qualities.
Auricular- having to do with your ear. Your ""pinky finger"" is also called your ""auricular finger"" because it's the one most people stick in their ear.
Amoral- ""A"" hear means ""without"" so that the word means ""without morals,"" a little different from ""immoral."" Animals are amoral while people can be immoral.
Agoraphobic- the fear of outdoors.
Aeronautical
Angelic
Accessible
Avaricious- greedy
Acrimonious- a bitter and caustic personality.
Azure- a fancy word for blue.
Awesome
Ambivalent- ""any way the wind blows.""
Ambidextrous- ""look Ma, I can write with both hands!""
Appropriate
Ardent- a strong or intense feeling.
Adamant- unbreakable or unyielding. Adam Ant is also an 80's icon.
Alluvial- something that is created over a very long time, like alluvium.
"
Adjectives That Start with B,http://grammar.yourdictionary.com/parts-of-speech/adjectives/Adjectives-That-Start-With-B.html,"Boisterous
Bookish
Bonkers- crazy
Bicameral- having two chambers, like the legislative branch of the US government.
Baffling
Bacterial
Blissful
Bracing
Brisk
Brittle
Bulimic- describing a person who suffers from a horrible eating disorder.
Bovine- like a cow.
Brackish- unpleasant or distasteful, like dirty river water mixed with dirty sea water.
Brash- reckless.
Beaming
Brilliant- really smart or really bright.
Bashful
Bodacious- simultaneous audacious and admirable.
Belligerent- argumentative.
Buxom- like Anna Nicole Smith when she did her Peta ads.
"
Adjectives That Start with C,http://grammar.yourdictionary.com/parts-of-speech/adjectives/Adjectives-That-Start-With-C.html,"Courageous- one the most important qualities of a good person.
Customary
Cavernous
Creative
Capacious- imagine standing alone in a domed stadium.
Capricious- often mixed up with ""capacious,"" its meaning is very different. ""Capricious"" means ""care-free"" or ""mercurial.""
Captivating
Casual
Cryptic- like a message that's hard to decipher.
Cybernetic- like the Arnold in Terminator: part man, part machine.
Curvaceous- like Anna Nicole-Smith when she was doing Guess Jeans ads.
Cerulean- a shade of deep blue.
Cyan- a shade of light blue, one of the four colors of conventional printing.
Comprehensive
Cervical- describing a neck-like structure.
Chinese
Culinary
Chthonic- dark and mysterious or originating from the underworld.
Colonial
Crisp
"
Adjectives That Start with D,http://grammar.yourdictionary.com/parts-of-speech/adjectives/Adjectives-That-Start-With-D.html,"Distracting
Discursive
Discordant
Dissimulated
Disrespectful
Distasteful
Distressed
Dystrophy
Dyslexic
Dysphonic
Dyspeptic
A removal of value, in ""devalued"" is very different from the meaning of the same prefix in ""deserve.""
Deserve means of, or from, service. It often is misused as a kind of automatic earning, but it means the same thing as ""to earn.""
"
Adjectives That Start with E,http://grammar.yourdictionary.com/parts-of-speech/adjectives/Adjectives-That-Start-With-E.html,"Elephantine- like an elephant: big, strong, kind of scary.
Egregious- remarkably bad.
Eponymous- named after a person.
Eclectic- originating from various sources, like an international teashop that gets a lot of its teas from different places all over the world.
Eccentric- off-center or just a little crazy.
Electric
Entropic- like the inevitable degradation of any social system or structure into chaos.
Empathetic- ""I feel you, man.""
Exhaustive
Eldritch- like the ancient mariner in The Rime of the Ancient Mariner.
Eerie
Esoteric- only for a very particular segment of a larger group like an argot created to make sure as few people as possible understand a given subject.
Efficacious- capable of producing a desired effect.
Empirical- the only way to really know something.
Endogamous- marrying in your own clan, e.g., Klingons usually marry Klingons.
Effluent- flowing out of.
Elegiac- like a poem written in praise of or lament for the dead.
Effervescent- bubbly like Champaign.
Exotic- like something outside of your normal comfort zone, like a Mai-Tai.
Excellent- really, really, really good.
"
Adjectives That Start with F,http://grammar.yourdictionary.com/parts-of-speech/adjectives/adjectives-that-start-with-f.html,"Fickle- like the taste 12-year-old girls have in friends and clothing: changeable, inconstant, and dramatic.
Facinorous- criminal or at least very, very wicked.
Facile- as easy as saying hello in your own language.
Forthright- outspoken or simple
Factious- like a person who talks mutiny on a starship, bringing about an internal conflict in what is usually a perfectly oiled military operations.
Fraudulent- like a confidence artist who lies about who he is.
Freudian- a cigar is not always just a cigar, apparently.
Feeble- the way people who don't get enough vitamins end up.
Fine- like a day full of sunshine or a spring without allergens.
Flirtatious- like a baby in the bus seat in front of you who peeks over its mother's shoulder just to bat its eyelashes at you and smile.
Flamboyant- like a flamingo.
Fungal- like the stuff growing on your feet to make them stink.
Furious- a little more angry than the giant who chased Jack after to recover his golden-egg-laying goose.
Funky
Free
Faux- the only type of humane fur.
Fabulous
Frank- more honest than any politician you will ever even hear about.
Furtive- like a dog about where he buries his bones: he'll never tell anyone.
Fortuitous- like the event that every gambler hopes for.
"
Adjectives That Start with G,http://grammar.yourdictionary.com/parts-of-speech/adjectives/Adjectives-That-Start-With-G.html,"Gregarious is when you like to talk a lot with lots of different people. You're the life of the party.
Gallant is when you're like a knight: brave, heroic, all that good stuff.
Gay means happy. It might not always have that meaning, so enjoy it while it lasts.
Gustatory describes anything having anything to do with the sense of taste. Gustatory delights would be delectable morsels.
Galvanized describes either a metal that is protected by a layer of zinc or a person who has been exited into resolution for action.
Gentle
Gratuitous is anything that is done unnecessarily or something that is unwarranted.
Gauche usually refers to acts or people who lack sophistication or grace; awkward.
Graphic has to do with visual display, but it could also mean ""showing too much.""
Graceful: like a ballerina dancing on rose petals as the apocalypse shatters the sky around her.
Gory describes bloody horror movies like Nightmare on Elm Street.
Gaping is something that's open wide, like your mouth during a really scary part of Nightmare on Elm Street.
Gorgeous is someone who's extremely beautiful, like a super model.
Gifted describes someone with super powers.
Generous
Gassy describes someone with a healthy digestive system.
Generic
General: not specific.
Gelatinous is a word describing things like Jell-O or other foods made out of super-heated animal matter.
Genetic has to do with anything piggy-backing chromosomes.
"
Adjectives That Start with H,http://grammar.yourdictionary.com/parts-of-speech/adjectives/Adjectives-That-Start-With-H.html,"Heuristic - describes a mission of discovery, like that of the Captain Kirk's Enterprise, to discover strange new worlds.
Hebdomadal - describes publications like The New Yorker, or anything else that happens once a week.
Halcyon - calm and peaceful like a glass lake at dawn.
Hegemonic
Healthy - refers to something that seems sound. If you are healthy, you're doing all right.
Healthful - refers to something that is conducive to health. A healthful diet, like an apple a day, for example, will negate your need for a doctor; thus, an apple is healthful. Healthful and healthy are often confused for one another, and eventually, they will probably merge. Today, though, they are still distinct words with distinct meanings and should be afforded the dignity and respect they deserve while it lasts.
Heinous - an act or behavior that's really, really really, bad. If you've done something heinous, there's no amount apologizing that's going to make up for it. Something heinous is simply inexcusable.
Heteroclite - describes someone or something that's different from the boring normal. Heteroclite can also have a clinical meaning describing anything abnormal or anomolous.
Histrionic - like a drama queen, always bringing the drama.
Hircine - like a goat or lusty.
Hortative - ""Good JOB!""
Horrific
Hedonistic - describes people who value individual pleasure over all else or an act whose purpose is such.
Hyperbolic - refers to a statement that is so exaggerated, no one should ever take it seriously.
Hebetudinous - describes something or someone who is obtuse, slow, or stupid.
"
Adjectives That Start with I,http://grammar.yourdictionary.com/parts-of-speech/adjectives/Adjectives-That-Start-With-I.html,"Idiotic - selling your friends bogus stocks in an attempt to make money to cover up bad investments
Immoral - see above
Indigenous - native to a certain area
Illogical
Irrelevant - not pertinent, like mentioning Pokemon during a golf game
Indigo - the color on the electromagnetic spectrum between 420 and 450 degrees in wavelength, placing it between purple and blue
Improper
Icy
Irreconcilable - differing beliefs that cannot be brought to agreement
Inferior - lower in rank
Impeccable
Intelligent
Inert - unable to move, like a rock right before it is thrown into a river
Incredible
Interesting
Infernal - like all things that are of the netherworld of the dead or hellish, like a small child howling in a nice restaurant.
Irate - describes someone who is really, really, really, mad
Ironic - meaning the opposite of what is expressed
Integral - something upon which all other components are based
Inconceivable - describes something that cannot be imagined by natural means
Infernal - ""Infernal"" is a rarely used, but highly underrated, expletive word. ""Stop with that infernal racket"" may have been a phrase your grandfather used, because it definitely made everyone be quiet.
Irate - ""Irate"" is another good descriptor that surely gets a point across. ""When we got there late our host was so irate he made us find another place to stay, but not before he showed us around."" It's a word that makes mad sound tame.
Icy - How about ""icy?"" ""Jack really liked Mary, but her icy demeanor was a big deterrent when it came to taking their relationship to the next level.""
Intelligent - ""She was an undeniably beautiful girl, but her intelligent demeanor made her even more attractive."" Describing someone as ""intelligent"" makes them sound even better than smart.
Incredible - ""The book we got our host was an incredible Irish cookbook."" Finding something ""incredible"" makes you sound more intelligent than just saying it's cool.
Impeccable - ""When we looked at his house we realized that his tastes were impeccable"" sounds more incredible than just saying he had good taste.
Indigo - ""His dining room was painted a deep shade of indigo that made the place seem kingly"" works a lot better than just saying he painted the room blue.
Inconceivable - ""Inconceivable"" was a word that was frequently uttered in the fairy tail movie, The Princess Bride and it actually got the point across very well. Every time a challenge was posed to the male protagonist, Wesley, he inconceivably beat the odds to come out on top.
"
