PLANT NAME,OPERATING COMPANY,WEBSITE NAME,CONTACT URL
Bastyan Oil/Diesel Power Plant Australia,,Contact us – Google,http://www.google.com/contact/
Ernest Henry Oil Power Plant Australia,,Contact us – Google,http://www.google.com/contact/
Gove Oil/Diesel Power Plant Australia,,Contact us – Google,http://www.google.com/contact/
Jabiru Oil/Diesel Power Plant Australia,Energy Resources Australia (ERA),Contact ERA - Energy Resources of Australia,https://www.energyres.com.au/contact/
Lonsdale Diesel Power Plant Australia,,Contact us – Google,http://www.google.com/contact/
Mt Stuart Oil Power Plant Australia,Origin Energy,contact us - Origin Energy,https://www.originenergy.com.au/contact-us.html
Port Lincoln Diesel Power Plant Australia,,Contact us – Google,http://www.google.com/contact/
Swanbank C and D Oil Power Plant Australia,,Contact us – Google,http://www.google.com/contact/
Theiss Thermal Power Plant Austria,EVN,"EVN AG - Power Plants and SWOT Analysis, 2016 Update",http://www.emailwire.com/release/611027-EVN-AG-Power-Plants-and-SWOT-Analysis-2016-Update.html
Werndorf-Neudorf CHP Power Plant Austria,VERBUND Thermal Power GmbH,Energy providers contact information - VERBUND,https://www.verbund.com/en-at/business-customers/energy-providers/contact-service
Bheramara Oil Power Plant Bangladesh,Bangladesh Power Development Board (BPDB,Contact - bpdb.gov.bd,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=86&Itemid=86
KPCL BMPP Bangladesh,Khulna Power Company Limited (KPCL),Contact Details Mobile :+88 01711-393 096.and +88 01713-443250,http://www.idmeb.org/contents/CV/RESUME-2_124.pdf
Khulna Thermal Power Plant Bangladesh,Bangladesh Power Development Board (BPDB,Contact - bpdb.gov.bd,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=86&Itemid=86
Rangpur OCGT Power Plant Bangladesh,Bangladesh Power Development Board (BPDB,Contact - bpdb.gov.bd,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=86&Itemid=86
Saidpur OCGT Power Plant Bangladesh,Bangladesh Power Development Board (BPDB,Contact - bpdb.gov.bd,http://www.bpdb.gov.bd/bpdb/index.php?option=com_content&view=article&id=86&Itemid=86
Alegrete Thermal Power Plant Brazil,Tractebel Energia SA,- Fenja field development plan submission - Europétrole,https://www.euro-petrole.com/fenja-field-development-plan-submission-n-i-15990
Cristiano Rocha Oil Power Plant Brazil,Rio Amazonas Energia SA,PHOENIX CONTACT | Distribuidores,https://www.phoenixcontact.com/online/portal/br?1dmy&urile=wcm%3apath%3a/brpt/web/corporate/contact/application_pages/Distributors/Distributors
Presidente Vargas Steel Mill Cogen Power Plant Brazil,Companhia Siderurgica National (CSN),What does CSN stand for? - abbreviations.com,https://www.abbreviations.com/CSN
Santa Cruz Thermal Power Plant Brazil,Furnas,"Furnas - Motor Controls, Motor Starters, MCC Buckets ...",https://www.widespreadsales.com/Manufacturers/Furnas
Burnside Combustion Turbines Generating Station Canada,Nova Scotia Power Inc.,Contact Us - Nova Scotia Power,https://www.nspower.ca/en/home/contact-us/default.aspx
Centrale de Cap-aux-Meules Power Plant Canada,Hydro Quebec,Contact us | Hydro-Québec,http://www.hydroquebec.com/contact-us/
Centrale de Tracy Oil Generating Station Canada,Hydro Quebec,Contact us | Hydro-Québec,http://www.hydroquebec.com/contact-us/
Coleson Cove Oil Generating Station Canada,NB Power,Contact Us - NB Power - Language Preference Screen,https://www.nbpower.com/en/contact-us
Courtney Bay Oil Power Plant Canada (Shutdown),NB Power,Contact Us - NB Power - Language Preference Screen,https://www.nbpower.com/en/contact-us
Dalhousie Oil Power Station Canada,NB Power,Contact Us - NB Power - Language Preference Screen,https://www.nbpower.com/en/contact-us
Holyrood Thermal Generating Station Canada,Newfoundland and Labrador Hydro,Contact | Newfoundland & Labrador Hydro,https://www.nlhydro.com/contact/
Lennox Oil Gas Generating Station Canada,Ontario Power Generation,Ontario Power Generation | Contact OPG,https://www.opg.com/Pages/contact.aspx
Millbank OCGT Generating Station Canada,NB Power Corporation,Contact Us - NB Power - Language Preference Screen,https://www.nbpower.com/en/contact-us
Tufts Cove Oil Generating Station Canada,Nova Scotia Power,Contact Us - Nova Scotia Power,https://www.nspower.ca/en/home/contact-us/default.aspx
Renca Thermal Power Plant Chile,AES Gener S.A.,Electric tenders: A contribution to public policy from ...,http://www.bnamericas.com/en/news/miningandmetals/electric-tenders-a-contribution-to-public-policy-from-mining/
Shunde CCGT Power Plant China,Shunde Sheng Power Plant  Co. Ltd,Contact Information for China - Intertek,http://www.intertek.com/contact/asiapacific/china/
Mpila Oil Power Plant Congo Republic,Societe Nationale d\'Energie,Parakou : Jean-Claude Houssou au contact des difficultés d ...,https://www.benintimes.info/societe/parakou-jean-claude-houssou-au-contact-des-difficultes-dacces-a-leau-et-a-lenergie/
Moin I Power Plant Costa Rica,Instituto Costarricense de Electricidad (ICE),Costa Rica's ICE eyes regional expansion - BNamericas,https://www.bnamericas.com/en/news/costa-ricas-ice-eyes-regional-expansion/?position=719392
Moin II and III Power Plant Costa Rica,Instituto Costarricense de Electricidad (ICE),Costa Rica's ICE eyes regional expansion - BNamericas,https://www.bnamericas.com/en/news/costa-ricas-ice-eyes-regional-expansion/?position=719392
Rijeka Thermal Power Plant Croatia,Hrvatska elektroprivreda (HEP) d.d.,HEP grupa - Contact,http://www.hep.hr/contact/2452
10 October Thermal Power Plant Cuba,Union Electrica,General Electric Credit Union - Contact Us - Hours & Locations,http://www.gecreditunion.org/home/contact-us/hours-locations
Dhekelia Power Plant Cyprus,Electricity Authority of Cyprus,EAC - Contact Us,https://www.eac.com.cy/EN/ContactUs/Pages/default.aspx
Moni Power Station Cyprus,Electricity Authority of Cyprus (EAC),EAC - Contact Us,https://www.eac.com.cy/EN/ContactUs/Pages/default.aspx
Kyndby Thermal Power Plant Denmark,DONG Energy,Contact - DONG Energy - Ørsted,http://www.dongenergy.com/en/contact
Abu Qir (Kir) Thermal Power Plant Egypt,West Delta Electricity Production Company,Affiliate Contact,http://www.moee.gov.eg/english_new/dalil2.aspx
Abu Sultan Thermal Power Plant Egypt,Egyptian Electricity Holding Company,Affiliate Contact,http://www.moee.gov.eg/english_new/dalil2.aspx
Arish Thermal Power Plant Egypt,East Delta Electricity Production Company (EDEPC),Affiliate Contact,http://www.moee.gov.eg/english_new/dalil2.aspx
Assiut (Asyut) Thermal Power Plant Egypt,Upper Egypt Electricity Production Company (UEEPC),Upper Egypt Electricity Production Company -Overview ...,https://www.researchmoz.us/upper-egypt-electricity-production-company-overview-contact-details-locations-key-executives-power-plant-information-business-description-and-swot-analysis-report.html
Ataka (Suez) Thermal Power Plant Egypt,East Delta Electricity Production Company (EDEPC),Affiliate Contact,http://www.moee.gov.eg/english_new/dalil2.aspx
Cairo West EXT Thermal Power Station Egypt,Cairo Electricity Production Company,CONTACT US - cairoepc.com,http://www.cairoepc.com/EN/contact.html
Cairo West Thermal Power Station Egypt (Decommissioned),Cairo Electricity Production Company,CONTACT US - cairoepc.com,http://www.cairoepc.com/EN/contact.html
Damanhour (old) Thermal Power Plant Egypt,Middle Delta Electricity Production Company (MDEPC),Contact Us - mdepc.gov.eg,http://www.mdepc.gov.eg/index.php/en/contact-us
Damanhour EXT 300 Thermal Power Plant Egypt,Middle Delta Electricity Production Company (MDEPC),Contact Us - mdepc.gov.eg,http://www.mdepc.gov.eg/index.php/en/contact-us
El Tebbin (old) Thermal Power Plant Egypt,Cairo Electricity Production Company,CONTACT US - cairoepc.com,http://www.cairoepc.com/EN/contact.html
